date,external,macrodomestic,priceofrisk,ratepressure
2004-01-31,0.8129101365987078,2.002493243578702,1.000420591475316,0.545326716794641
2004-02-29,0.7946787497987904,1.7108693681478289,0.7842586045087935,0.18798649295338943
2004-03-31,1.3851362834198708,2.7002413255078035,0.6690965940872022,1.0995785052121372
2004-04-30,1.7022676883426315,2.336170599182055,0.3006713527318677,1.040979160022091
2004-05-31,2.067762972246477,2.9092426433911323,0.14991005988151945,-0.19750275478794477
2004-06-30,1.1390509138900549,2.4925220011123246,-0.13147239176550946,1.2073449763112902
2004-07-31,1.3172732922725858,2.296617582127585,-0.10167254778559975,0.5555358489277007
2004-08-31,1.37829919742184,2.2653679425654687,-0.04414727605731991,0.8225155903450676
2004-09-30,1.627205495051216,1.9078635807733084,-0.22080458107784412,1.5838189792050037
2004-10-31,2.074229967324567,2.6416332976304426,-0.20865298257120685,3.4551025572146727
2004-11-30,2.141608006802936,2.8315246167889816,-0.4349846516253666,1.3691057638853377
2004-12-31,1.7034862802992579,2.578986039896118,0.048971730558958954,1.3800915342770164
2005-01-31,1.8065607248485185,1.4622853515698175,-0.4352889658619357,1.3089258002170179
2005-02-28,2.0142532719971205,3.1762674422088475,-0.07239921957412715,2.8210177226415283
2005-03-31,2.5043900730160567,2.9342436058654595,2.334775800517838,3.1194982123361297
2005-04-30,2.687834940785683,2.69601165273155,3.004279306892616,1.2727360592340864
2005-05-31,2.0428388407919633,2.645696637821839,2.8873157573519554,2.3291042545839566
2005-06-30,3.0827886369939024,2.5654588842496273,2.441562013141816,1.3473398099104386
2005-07-31,2.4987043715975847,2.5410093840258146,1.9134779020260486,1.8562661248915702
2005-08-31,2.81486549174287,1.7448901771525667,1.6298021494283343,1.594920178556539
2005-09-30,2.7503347150996014,2.037227573885532,1.4741031662060977,2.7126410142262776
2005-10-31,1.9852647323371124,2.5047544548943663,1.3487842843501565,0.45476143869638685
2005-11-30,1.9276179969027591,2.6051170422725134,1.5332673398801793,1.5541474272699443
2005-12-31,2.310029953271483,1.9469257397903337,1.7899791103006353,1.0489308005277054
2006-01-31,2.546461754342665,1.958231845309158,1.6611667537355523,1.6517471520216729
2006-02-28,2.4764347523715515,1.8877376664293457,1.6755974676494978,1.3603112037151872
2006-03-31,1.13308741355932,1.823891042899548,1.7892186684317322,1.600902462396209
2006-04-30,0.7723868964178089,1.8421957613178057,1.648102212519204,0.330841539707972
2006-05-31,0.31878761967120645,1.602740543034344,1.677190599063561,1.1259145542296303
2006-06-30,-0.022414006211683712,1.4253486797059804,1.6690637482190995,0.7132345279886643
2006-07-31,0.00045524462622276163,3.184206470183634,1.5707066383410164,1.3179049119104043
2006-08-31,-0.5069942046704279,4.48742944429036,1.5824787772903812,0.33581938638601766
2006-09-30,-0.8817417388929156,2.303219372045472,1.54214883730465,0.30064277245550053
2006-10-31,-0.9517911552613387,2.3414326448232226,1.7375691320394764,0.6123672549121272
2006-11-30,-1.1175115812045002,2.1352500684430433,1.6756690278807085,1.0219181491881093
2006-12-31,-1.1854057659401585,2.039629561754677,1.752226804669889,1.8487145386331802
